name,variable,Use_Case
asthakind-ls expectorant cola sugar free,use0,Treatment of Cough with mucus
ascoril ls drops,use0,Acute Sore throat
azmarda 50mg tablet,use0,Treatment of Heart failure
amixide-h tablet,use0,Treatment of Depression
ab-flo-n tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
af kit tablet,use0,Treatment of Syndromic treatment of vaginal discharge
amlokind 5 tablet,use0,Treatment of Hypertension (high blood pressure)
amlong tablet,use0,Treatment of Hypertension (high blood pressure)
akt 4 kit,use0,Treatment of Tuberculosis (TB)
ascoril d junior cough syrup,use0,Treatment of Dry cough
amitone 10mg tablet,use0,Treatment of Depression
aulin 100mg tablet,use0, Pain relief
amikacin sulphate 500mg injection,use0, Bacterial infections
ambrodil-lx syrup,use0,Treatment of Cough with mucus
aquasol a capsule,use0,Treatment of Vitamin A deficiency
ab phylline sr 200 tablet,use0, Chronic obstructive pulmonary disease (COPD)
azoran tablet,use0, Prevention of organ rejection in transplant patients
aztor 10 tablet,use0, High cholesterol
atorva 40 tablet,use0, High cholesterol
azax 500 tablet,use0,Treatment of Bacterial infections
alex syrup sugar free,use0,Treatment of Dry cough
anxit 0.5 tablet,use0,Treatment of Anxiety
anxit 0.25mg tablet,use0,Treatment of Anxiety
acitrom 2 tablet,use0,Treatment and prevention of Blood clots
angispan - tr 2.5mg capsule,use0,Treatment of Angina (heart-related chest pain)
azeflo nasal spray,use0,Treatment of Sneezing and runny nose due to allergies
acemiz -mr tablet,use0,Treatment of Muscular pain
akurit 4 tablet,use0,Treatment of Tuberculosis (TB)
aerocort inhaler,use0, Asthma
adaferin gel,use0, Acne
acivir 400 dt tablet,use0, Herpes Simplex Virus Infections
aptimust syrup,use0, Appetite stimulant
augmentin 1000 duo tablet,use0,Treatment of Bacterial infections
ambrodil syrup,use0,Treatment of Respiratory tract disorders associated with viscid mucus
acogut tablet,use0,Treatment of Functional dyspepsia
atarax drops,use0,Treatment of Anxiety
amlip 5 tablet,use0,Treatment of Hypertension (high blood pressure)
antid 300mcg/ml injection,use0,Prevention of Infections
alerid syrup,use0,Treatment of Allergic conditions
aldactone 50 tablet,use0, Hypertension (high blood pressure)
ampoxin 500 capsule,use0,Treatment of Bacterial infections
azee 250 tablet,use0,Treatment of Bacterial infections
alerid tablet,use0,Treatment of Allergic conditions
augmentin 375 tablet,use0,Treatment of Bacterial infections
acenac-p  tablet,use0, Pain relief
acivir cream,use0, Herpes labialis
ab-flo capsule,use0, Chronic obstructive pulmonary disease (COPD)
ab phylline n tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
amifru 40 tablet,use0,Treatment of Edema
avamys nasal spray,use0,Treatment of Sneezing and runny nose due to allergies
alkasol oral solution sugar free,use0,Treatment of Gout
aciloc 300 tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
aziderm 20% cream,use0,Treatment of Acne
ace proxyvon tablet,use0, Pain relief
ano metrogyl cream,use0,Treatment of Anal fissure
admenta 5 tablet,use0, Alzheimer's disease
aceclo-mr tablet,use0,Treatment of Muscular pain
alerid-d tablet,use0,Treatment of Sneezing and runny nose due to allergies
acemiz-s tablet,use0, Pain relief
allercet-dc tablet,use0,Treatment of Sneezing and runny nose due to allergies
aztolet  10 tablet,use0, Heart attack prevention and high cholesterol
augmentin 1.2gm injection,use0,Treatment of Bacterial infections
ambrodil-plus rf syrup,use0, Common cold
amlopres-at tablet,use0,Treatment of Hypertension (high blood pressure)
ajaduo 25mg/5mg tablet,use0,Treatment of Type 2 diabetes mellitus
avanair 100 tablet,use0, Erectile dysfunction
acton-or tablet sr,use0, Pain relief
aquazide 12.5 tablet,use0,Treatment of Hypertension (high blood pressure)
alaspan am tablet,use0, Cough
althrocin 250 tablet,use0,Treatment of Bacterial infections
azikem 500mg tablet,use0,Treatment of Bacterial infections
aldosmin 500mg tablet,use0, Varicose veins
amlovas 5 tablet,use0,Treatment of Hypertension (high blood pressure)
acitrom 1 tablet,use0,Treatment and prevention of Blood clots
af 150 tablet dt,use0,Treatment of Fungal infections
ascoril sf expectorant,use0,Treatment of Cough with mucus
amaryl m  1mg tablet pr,use0,Treatment of Type 2 diabetes mellitus
azithral xl 200 liquid,use0,Treatment of Bacterial infections
af 400 tablet,use0,Treatment of Fungal infections
amantrel tablet,use0, Parkinson's disease
atorva 20 tablet,use0, High cholesterol
acenac-mr tablet,use0,Treatment of Muscular pain
ambrolite-s expectorant,use0, Cough
asthalin 4 tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
abiways tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
amaryl m  2mg tablet pr,use0,Treatment of Type 2 diabetes mellitus
ampilox capsule,use0,Treatment of Bacterial infections
adrenaline tartrate injection,use0, Severe allergic reactions
acogut 300 er tablet,use0,Treatment of Functional dyspepsia
acuvin tablet,use0, Pain relief
ab-flo sr tablet,use0, Chronic obstructive pulmonary disease (COPD)
air-m tablet,use0,Treatment of Sneezing and runny nose due to allergies
atorlip-f tablet,use0,Treatment of High cholesterol
advent forte 457mg syrup tangy orange,use0,Treatment of Resistant Tuberculosis (TB)
amlodac 5 tablet,use0,Treatment of Hypertension (high blood pressure)
aztor 40 tablet,use0, High cholesterol
ascoril plus expectorant,use0,Treatment of Cough
alupent 10mg tablet,use0,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
amlip at tablet,use0,Treatment of Hypertension (high blood pressure)
asthakind-p drops,use0,Treatment of Cough with mucus
allegra nasal spray,use0,Treatment of Sneezing and runny nose due to allergies
addnok 0.2mg tablet,use0, Opioid (Morphine) dependence
aldosmin 1000mg tablet,use0, Varicose veins
andre i-kul eye drop,use0,Treatment of Allergic eye disease
antiflu 75mg capsule,use0,Treatment of Influenza (flu)
alerfix total tablet sr,use0,Treatment of Respiratory tract disorders associated with viscid mucus
alex-l cough syrup mango,use0,Treatment of Dry cough
atropine sulphate injection,use0, Bradycardia
aquaviron injection 1ml,use0,Treatment of Male hypogonadism
aciclovir 400 tablet,use0, Herpes Simplex Virus Infections
alkof dx syrup,use0,Treatment of Dry cough
atm 500 tablet,use0,Treatment of Bacterial infections
assurans tablet,use0,Treatment of Erectile dysfunction
ambrolite d syrup,use0,Treatment of Dry cough
actrapid hm 100iu/ml penfill,use0, Diabetes
aten 50 tablet,use0,Treatment of Hypertension (high blood pressure)
azmarda 100mg tablet,use0,Treatment of Heart failure
asthalin ax syrup,use0,Treatment of Cough with mucus
alzolam 0.5mg tablet,use0,Treatment of Anxiety
a kare combipack,use0, Medical abortion
ambulax tablet,use0, Anxiety disorder
amlovas-at tablet,use0,Treatment of Hypertension (high blood pressure)
asthakind-dx junior syrup cherry,use0,Treatment of Dry cough
advent 228.5mg dry syrup,use0,Treatment of Resistant Tuberculosis (TB)
acivir 800 dt tablet,use0, Herpes Simplex Virus Infections
alfusin tablet pr,use0,Treatment of Benign prostatic hyperplasia
aziwok 500 tablet,use0,Treatment of Bacterial infections
alkacitral liquid,use0,Treatment of Gout
almox-cv 625 tablet,use0,Treatment of Bacterial infections
azithral 100 liquid,use0,Treatment of Bacterial infections
azee 100mg dry syrup peppermint,use0,Treatment of Bacterial infections
ace-proxyvon cr tablet,use0, Pain relief
ascoril c  syrup,use0, Dry cough
aprezo 30mg tablet,use0, Plaque psoriasis
apidra 100iu cartridge,use0, Diabetes
amlosafe 3d tablet,use0, Hypertension (high blood pressure)
andial 2mg tablet,use0, Diarrhea
acenext p 100mg/325mg tablet,use0, Pain relief
acnesol a nano gel,use0,Treatment of Acne
ascoril flu syrup,use0,Treatment of Common cold
asomex 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
angiplat 2.5 capsule tr,use0,Treatment of Angina (heart-related chest pain)
alkof cofgel  tablet,use0, Dry cough
azithral 250mg dt tablet,use0,Treatment of Bacterial infections
alzolam 0.25mg tablet,use0,Treatment of Anxiety
advent 625 tablet,use0,Treatment of Bacterial infections
alsita m 50mg/500mg tablet,use0,Treatment of Type 2 diabetes mellitus
axogurd-sr tablet,use0,Treatment of Neuropathic pain
azoflox uti tablet,use0,Treatment of Urinary tract infections (UTIs)
azulix 2 mf tablet pr,use0,Treatment of Type 2 diabetes mellitus
amaryl mv 2mg tablet sr,use0,Treatment of Type 2 diabetes mellitus
azulix 1 mf tablet pr,use0,Treatment of Type 2 diabetes mellitus
aten 25 tablet,use0,Treatment of Hypertension (high blood pressure)
azibact 500 tablet,use0,Treatment of Bacterial infections
amlopres tl tablet,use0,Treatment of Hypertension (high blood pressure)
ambrolite syrup,use0,Treatment of Respiratory tract disorders associated with viscid mucus
actapro tablet,use0,Treatment of Functional dyspepsia
aztor 20 tablet,use0, High cholesterol
alkof syrup,use0,Treatment of Cough with mucus
atorfit cv 10 capsule,use0, Heart attack prevention and high cholesterol
acnesol gel,use0,Treatment of Bacterial infections
amtas 5 tablet,use0,Treatment of Hypertension (high blood pressure)
alrgee 120mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
avil 50mg tablet,use0,Treatment of Allergic conditions
arip mt 5 tablet,use0, Schizophrenia
alivher tablet,use0,Treatment of Erectile dysfunction
apdrops lp  eye drop bak free,use0,Treatment of Eye infection with inflammation
amrox-ls syrup,use0,Treatment of Cough with mucus
altonil 3mg tablet,use0,Treatment of Insomnia
allercet cold tablet,use0,Treatment of Common cold
atorlip 10 tablet,use0, High cholesterol
admenta 10 tablet,use0, Alzheimer's disease
amox 500mg capsule,use0,Treatment of Bacterial infections
asthalin respirator solution,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
add tears lubricant eye drop,use0,Treatment of Dry eyes
almox 250 capsule,use0,Treatment of Bacterial infections
aztor asp 75 capsule,use0,Treatment of Prevention of heart attack and stroke
alkacip syrup,use0,Treatment of Gout
arbitel-trio 50 tablet er,use0, Hypertension (high blood pressure)
acivir 200 dt tablet,use0, Herpes Simplex Virus Infections
augmentin es oral suspension,use0,Treatment of Bacterial infections
amrolstar cream,use0, Fungal nail infections
adalene nanogel gel,use0,Treatment of Acne
apigat 2.5 tablet,use0,Treatment and prevention of Blood clots
aeromont-b tablet,use0,Treatment of Allergic conditions
amlopres 5 tablet,use0,Treatment of Hypertension (high blood pressure)
abevia-n tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
acamprol tablet,use0, Alcohol addiction
ancool  oral suspension sugar free,use0, Acidity
atormac cv10 capsule,use0, Heart attack prevention and high cholesterol
apdrops pd eye drop,use0,Treatment of Bacterial infections
amnurite  10 tablet sr,use0, Neuropathic pain
atonide gel,use0, Skin conditions with inflammation & itching
amlong-a tablet,use0,Treatment of Hypertension (high blood pressure)
acivir 500 infusion,use0, Herpes Simplex Virus Infections
af-k lotion,use0,Treatment of Fungal skin infections
amoxyclav 375 tablet,use0,Treatment of Bacterial infections
abd 400mg tablet,use0,Treatment of Parasitic infections
amlong 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
alburel 20gm solution for infusion,use0, Short term fluid replacement after trauma
anacin tablet,use0,Treatment of Headache
azithro 250mg tablet,use0,Treatment of Bacterial infections
azimax 500 tablet,use0,Treatment of Bacterial infections
amlosafe-at tablet,use0,Treatment of Hypertension (high blood pressure)
air 180 tablet,use0,Treatment of Sneezing and runny nose due to allergies
adilip 135 tablet dr,use0, High cholesterol
apdrops eye drop,use0,Treatment of Bacterial eye infections
amlosafe 5 tablet,use0,Treatment of Hypertension (high blood pressure)
apigat 5 tablet,use0,Treatment and prevention of Blood clots
amlogard 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
amaryl mv 1mg tablet sr,use0,Treatment of Type 2 diabetes mellitus
alergin l tablet,use0,Treatment of Allergic conditions
aciloc injection,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
alex p syrup,use0, Common cold
azr tablet,use0, Prevention of organ rejection in transplant patients
angicam-beta tablet,use0,Treatment of Hypertension (high blood pressure)
amicobal 10mg/1500mcg tablet,use0, Neuropathic pain
actibile 300 tablet,use0,Treatment of Primary biliary cirrhosis
ambrolite levo syrup,use0,Treatment of Cough with mucus
amaryl m forte 2mg tablet pr,use0,Treatment of Type 2 diabetes mellitus
azicip 250 tablet,use0,Treatment of Bacterial infections
algesia cr 200mg/20mg capsule,use0, Pain relief
ascoril expectorant,use0, Cough
atorva 80 tablet,use0, High cholesterol
acitrom 4 tablet,use0,Treatment and prevention of Blood clots
alsita 100mg tablet,use0,Treatment of Type 2 diabetes mellitus
amnurite  5 mg/1500 mcg tablet,use0, Neuropathic pain
airz capsule,use0, Chronic obstructive pulmonary disease (COPD)
asomex 5 tablet,use0,Treatment of Hypertension (high blood pressure)
anaspas tablet,use0, Abdominal cramp
ascabiol emulsion,use0, Scabies
addwize 10mg tablet,use0, Attention deficit hyperactivity disorder (ADHD)
amlong 10 tablet,use0,Treatment of Hypertension (high blood pressure)
abd plus tablet,use0,Treatment of Worm infections
allercet-m tablet,use0,Treatment of Sneezing and runny nose due to allergies
augpen -ds suspension,use0,Treatment of Resistant Tuberculosis (TB)
althrocin liquid,use0,Treatment of Pertussis
atocor 10 tablet,use0, High cholesterol
augpen 625 bid tablet,use0,Treatment of Bacterial infections
atchol-f tablet,use0,Treatment of High cholesterol
alensol-d tablet,use0, Osteoporosis
arbitel-trio 25 tablet er,use0, Hypertension (high blood pressure)
acivir eye ointment,use0,Treatment of Eye infections by Herpes simplex virus
aceclo tablet,use0, Pain relief
actrapid 100 iu/ml flexpen,use0, Diabetes
amitone 25mg tablet,use0,Treatment of Depression
anafortan syrup,use0,Treatment of Abdominal pain
acera-d capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
aerodil sf expectorant,use0,Treatment of Cough with mucus
aculip h 12.5 mg/5 mg tablet,use0,Treatment of Depression
aztolet  20 tablet,use0, Heart attack prevention and high cholesterol
amlopin 5 tablet,use0,Treatment of Hypertension (high blood pressure)
arimidex 1mg tablet,use0, Breast cancer
alzil-m 5 tablet,use0, Alzheimer's disease
acuvert tablet,use0,Treatment of Vertigo
alciflox 500mg tablet,use0,Treatment of Bacterial infections
azax 250 tablet,use0,Treatment of Bacterial infections
aceclo spas tablet,use0,Treatment of Abdominal pain
asthakind-ls drop,use0,Treatment of Cough with mucus
alphadol 0.25mcg capsule,use0,Treatment of Vitamin D deficiency
alex cough lozenges sugar free,use0, Dry cough
arip mt 10 tablet,use0, Schizophrenia
anabel liquid gel,use0,Treatment of Mouth ulcers
aricep 5 tablet,use0, Alzheimer's disease
aceclo sr tablet,use0, Pain relief
azopt opthalmic suspension,use0, Glaucoma
amitop 10 tablet,use0,Treatment of Depression
ambulax m tablet,use0, Anxiety disorder
alcipro 500mg tablet,use0,Treatment of Bacterial infections
augpen lb 625 tablet,use0, Bacterial infections
alkaliser syrup,use0,Treatment of Gout
aquaviron 40mg capsule,use0,Treatment of Male hypogonadism
angiwell 2.6mg tablet,use0,Treatment of Angina (heart-related chest pain)
anaflam th  4  tablet,use0,Treatment of Muscular pain
alzil 5 tablet,use0, Alzheimer's disease
amlo 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
asthalin plus expectorant,use0,Treatment of Cough with mucus
amitone plus tablet,use0,Treatment of Depression
akt 2 tablet,use0,Treatment of Tuberculosis (TB)
alex plus paediatric oral drops,use0,Treatment of Common cold
antacid tablet,use0, Acidity
apresol tablet,use0, Hypertension (high blood pressure)
atchol 40 tablet,use0, High cholesterol
amlong-h tablet,use0, Hypertension (high blood pressure)
airz-ff capsule,use0, General Anaesthesia
arflur 3d tablet,use0, Pain relief
azmarda 200mg tablet,use0,Treatment of Heart failure
amixide 10mg tablet,use0,Treatment of Depression
avomine 25mg tablet md,use0,Treatment of Nausea
arpizol 2mg tablet,use0, Schizophrenia
ascodex cough syrup,use0, Cough
aerocort forte rotacap,use0, Asthma
af 200 tablet,use0,Treatment of Fungal infections
aquasurge  eye drop,use0,Treatment of Dry eyes
atorva asp 75 capsule,use0,Treatment of Prevention of heart attack and stroke
azivent 500 tablet,use0,Treatment of Bacterial infections
azithral eye ointment,use0,Treatment of Bacterial infections
adtrol xt tablet,use0, Nutritional deficiencies
aqualube eye drop,use0,Treatment of Dry eyes
antisnake venom injection,use0, Snake Bite
acrotac 25mg capsule,use0, Psoriasis
azathioprine 50mg tablet,use0, Prevention of organ rejection in transplant patients
amrolstar nail lacquer,use0, Fungal nail infections
allercet-m syrup,use0,Treatment of Sneezing and runny nose due to allergies
atchol 10 tablet,use0, High cholesterol
alphagan z ophthalmic solution,use0,Treatment of Glaucoma
acutret 10 capsule,use0,Treatment of Acne
acnedap gel,use0, Acne
amoxycillin 125mg oral suspension,use0,Treatment of Peptic ulcer disease
advanced lcf kid expectorant,use0, Cough
amitryn 10 tablet,use0,Treatment of Depression
amtas-at tablet,use0,Treatment of Hypertension (high blood pressure)
accentrix solution for injection,use0, Diabetic eye disease
arpizol 10 tablet,use0, Schizophrenia
aldactone 100 tablet,use0, Hypertension (high blood pressure)
aztogold 20 capsule,use0,Prevention of Heart attack
addna tablet,use0, Short term fluid replacement after trauma
amtas-m 50 tablet pr,use0,Treatment of Hypertension (high blood pressure)
akilos-p tablet,use0, Pain relief
avas cv 10 capsule,use0, Heart attack prevention and high cholesterol
actilyse 50mg injection,use0,Treatment of Heart attack
acceclowoc-sp tablet,use0, Pain relief
amodep at tablet,use0,Treatment of Hypertension (high blood pressure)
amlopres at 25 tablet,use0,Treatment of Hypertension (high blood pressure)
acular ls ophthalmic solution,use0, Post-operative eye pain and inflammation
anxipan capsule,use0, Acidity
advent 91.4mg drops tangy orange,use0,Treatment of Resistant Tuberculosis (TB)
azee xl 200mg dry syrup peppermint,use0,Treatment of Bacterial infections
abevia 100 capsule,use0, Chronic obstructive pulmonary disease (COPD)
alex oral drops orange,use0,Treatment of Common cold
amoxyclav ds syrup,use0,Treatment of Resistant Tuberculosis (TB)
alcoliv tablet,use0, Alcoholic fatty liver disease
anosum cream,use0,Treatment of Anal fissure
amlovas-m 5/50 tablet pr,use0,Treatment of Hypertension (high blood pressure)
alkamax mb alkamax mb6 oral solution,use0,Treatment and prevention of Kidney stone
amlosafe tm 40 tablet,use0,Treatment of Hypertension (high blood pressure)
apetamin syrup,use0,Treatment of Allergic conditions
aceflam p 100mg/325mg tablet,use0, Pain relief
ascovent -sr tablet,use0, Chronic obstructive pulmonary disease (COPD)
acotrust  tablet,use0,Treatment of Functional dyspepsia
acupat ophthalmic solution,use0,Treatment of Allergic conjunctivitis
arcolane 2% scalp solution,use0, Fungal skin infections
atropine 1% eye drop,use0,Treatment of Myopia
amyclox-lb capsule,use0, Bacterial infections
alamin injection,use0, Vitamin B12 deficiency
aquim pf eye drop,use0,Treatment of Dry eyes
arbitel-am tablet,use0,Treatment of Hypertension (high blood pressure)
aprecap 125/80 capsule,use0, Nausea and vomiting due to chemotherapy
ab phylline syrup,use0, Chronic obstructive pulmonary disease (COPD)
azeflo ft nasal spray,use0,Treatment of Sneezing and runny nose due to allergies
atorva f tablet,use0,Treatment of High cholesterol
amicline plus tablet,use0, Diarrhea
acimol mr 100mg/325mg/250mg tablet,use0,Treatment of Muscular pain
asthakind tablet,use0,Treatment of Cough with mucus
aprezo 10 tablet,use0, Plaque psoriasis
air 120 tablet,use0,Treatment of Sneezing and runny nose due to allergies
amoxycillin  250mg capsule,use0,Treatment of Bacterial infections
acenac sp 100mg/325mg/15mg tablet,use0, Pain relief
aginal-at tablet,use0,Treatment of Hypertension (high blood pressure)
allrite dc tablet er,use0, Sneezing and runny nose due to allergies
asthalin 2 tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
arip mt 2 tablet,use0, Schizophrenia
alcet 5mg tablet,use0,Treatment of Allergic conditions
aplazar tablet,use0,Treatment of Chronic kidney disease
amicon 10 tablet,use0,Treatment of Depression
amaryl m forte 1mg tablet pr,use0,Treatment of Type 2 diabetes mellitus
amicline tablet,use0, Worm infections
acivir iv injection,use0, Herpes Simplex Virus Infections
atm 200 oral suspension,use0,Treatment of Bacterial infections
apidra solostar 100iu/ml injection,use0, Diabetes
ab2 kit,use0, Medical abortion
atarax 25mg injection,use0,Treatment of Anxiety
afoglip m  500 tablet er,use0,Treatment of Type 2 diabetes mellitus
amlozaar tablet,use0, Hypertension (high blood pressure)
abel 40 tablet,use0, Hypertension (high blood pressure)
acolate plus tablet,use0,Treatment of Common cold
ampilox ds tablet,use0,Treatment of Bacterial infections
asthalin rotacaps,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
asthalin dx syrup,use0,Treatment of Dry cough
atorlip 20 tablet,use0, High cholesterol
altacef 500 tablet,use0,Treatment of Bacterial infections
amlokind 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
ambistryn-s 0.75gm injection,use0, Tuberculosis (TB)
ambulax-et tablet,use0,Treatment of Anxiety disorder
acceclowoc-p tablet,use0, Pain relief
alprax forte 0.5 mg/50 mg tablet,use0, Depression
alsita-m 100 tablet er,use0,Treatment of Type 2 diabetes mellitus
axogurd nt tablet sr,use0,Treatment of Neuropathic pain
aclind bp 2.5% gel,use0, Acne
anxiset 0.5 tablet,use0, Schizophrenia
atonide-h cream,use0,Treatment of Eczema
aldonil tablet,use0, Diabetic nerve pain
anticold  tablet,use0,Treatment of Common cold
alcros 100 capsule,use0,Treatment of Fungal infections
azibact 200 readymix oral suspension,use0,Treatment of Bacterial infections
atchol 20 tablet,use0, High cholesterol
azibest 500mg tablet,use0,Treatment of Bacterial infections
amoxy 500mg capsule,use0,Treatment of Bacterial infections
a-ret 0.05% gel,use0,Treatment of Acne
adenosine 3mg injection,use0, Arrhythmia
ascoril plus tablet,use0,Treatment of Cough with mucus
azulix 2 mf forte tablet pr,use0,Treatment of Type 2 diabetes mellitus
amlokind-h tablet,use0, Hypertension (high blood pressure)
aziderm 10% gel,use0,Treatment of Acne
amlopin-m tablet pr,use0,Treatment of Hypertension (high blood pressure)
ascodex junior syrup,use0,Treatment of Dry cough
alevo 500 tablet,use0,Treatment of Bacterial infections
avanair 200 tablet,use0, Erectile dysfunction
atorlip 40 tablet,use0, High cholesterol
anafortan-mf 50mg/250mg tablet,use0, Abdominal cramp
amitriptyline hcl 25mg tablet,use0,Treatment of Depression
aqsusten  25 solution for injection,use0, Hormone replacement therapy
amicet 5 mg/60 mg tablet,use0, Cough
amrox junior syrup,use0,Treatment of Cough with mucus
atm 250 tablet,use0,Treatment of Bacterial infections
anawin heavy 5mg injection,use0, Local anesthesia (Numb tissues in a specific area)
adaple-c gel,use0,Treatment of Acne
aravon injection,use0, Amyotrophic lateral sclerosis (ALS)
akilos-sp tablet,use0, Pain relief
amlozaar-h tablet,use0, Hypertension (high blood pressure)
alight plus gel,use0,Treatment of Acne
anaspas 25mg injection,use0, Abdominal cramp
azibact lr 100 readymix,use0,Treatment of Bacterial infections
aquazide 25 tablet,use0,Treatment of Hypertension (high blood pressure)
amlodac 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
amoxclav 500 mg/125 mg tablet,use0,Treatment of Bacterial infections
amplinak opthalmic suspension,use0, Post-operative eye pain and inflammation
aplevant 1.5mg pre-filled pen (0.5ml each),use0,Treatment of Type 2 diabetes mellitus
ambrodil-xp syrup,use0, Chronic obstructive pulmonary disease (COPD)
arvast 10 tablet,use0,Treatment of High cholesterol
ascoril flu drops,use0,Treatment of Common cold
atharv healthcare minrav 5 minoxidil 5% topical solution,use0,Treatment of Hair loss
amoxyclav oral suspension,use0,Treatment of Resistance Tuberculosis (TB)
ata mont 20mg/10mg tablet,use0,Treatment of Allergic conditions
acimol 100 mg/325 mg tablet,use0, Pain relief
antidep 25mg tablet,use0, Depression
artificial tears bp eye drop,use0, Dry eyes
almox 250 mg tablet dt,use0,Treatment of Bacterial infections
augpen hs 200 mg/28.5 mg suspension,use0,Treatment of Resistance Tuberculosis (TB)
anfoe 10000iu injection,use0,Treatment of Anemia due to chronic kidney disease
acnovate gel,use0,Treatment of Acne
ampoxin 250 capsule,use0,Treatment of Bacterial infections
azibact lr readymix 200,use0,Treatment of Bacterial infections
avanext 100mg tablet,use0, Erectile dysfunction
anti-thyrox 10 tablet,use0, Hyperthyroidism
aztor 80 tablet,use0, High cholesterol
akair lc tablet,use0,Treatment of Sneezing and runny nose due to allergies
astymin-sn infusion,use0, Nutritional deficiencies
asprito 2 tablet,use0, Schizophrenia
asomex-at tablet,use0,Treatment of Hypertension (high blood pressure)
anabel-ct gel,use0,Treatment of Mouth ulcers
amlovas 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
amlovas h  tablet,use0, Hypertension (high blood pressure)
